23650 24000
11 (45.5801,-73.5288)
96 (45.5486,-73.6189) 30 (45.5194,-73.5994)
42 (45.5162,-73.595) 50 (45.4826,-73.5777)
11 (45.5226,-73.5466) 70 (45.487,-73.5627)
44 (45.5418,-73.5192) 74 (45.5351,-73.5122)
81 (45.501,-73.4963) 25 (45.5239,-73.6112)
28 (45.5736,-73.59)
88 (45.4678,-73.583)
57 (45.431,-73.5841) 65 (45.5617,-73.6564)
67 (45.5152,-73.5375) 47 (45.4892,-73.6483)
46 (45.4534,-73.5358) 58 (45.5425,-73.5774)
80 (45.4466,-73.619) 27 (45.5108,-73.5784)
51 (45.5014,-73.5816) 4 (45.5017,-73.6358)
37 (45.5561,-73.6244) 97 (45.509,-73.6562)
68 (45.5,-73.6558) 82 (45.5465,-73.5193)
15 (45.4393,-73.5575) 17 (45.5416,-73.523)
92 (45.5749,-73.5066) 88 (45.4807,-73.5421)
86 (45.447,-73.6149) 66 (45.4549,-73.5861)
55 (45.4384,-73.6193) 88 (45.5204,-73.5717)
29 (45.4978,-73.5795) 64 (45.5021,-73.5033)
70 (45.4786,-73.6384) 3 (45.5215,-73.6075)
59 (45.4415,-73.591) 34 (45.5552,-73.5179)
52 (45.4324,-73.6318) 92 (45.5267,-73.592)
35 (45.4437,-73.5252) 88 (45.5645,-73.514)
93 (45.4971,-73.6094) 36 (45.5719,-73.5614)
61 (45.4773,-73.5724) 13 (45.5124,-73.6253)
27 (45.5469,-73.512) 1 (45.531,-73.5196)
65 (45.5706,-73.5826) 38 (45.5344,-73.6007)
87 (45.5308,-73.5813) 92 (45.5147,-73.6087)
91 (45.5012,-73.5625) 24 (45.555,-73.6064)
92 (45.4581,-73.5476) 59 (45.4939,-73.6099)
26 (45.4297,-73.5917) 4 (45.5441,-73.6475)
24 (45.5484,-73.6416) 100 (45.4665,-73.5444)
43 (45.5453,-73.5103) 52 (45.5293,-73.5457)
63 (45.4447,-73.6296) 80 (45.553,-73.548)
20 (45.4936,-73.589) 61 (45.57,-73.5169)
8 (45.4616,-73.6414) 56 (45.5454,-73.5386)
29 (45.5417,-73.5283) 91 (45.4544,-73.5768)
97 (45.449,-73.4994)
2 (45.435,-73.5166)
22 (45.4417,-73.5922) 96 (45.4898,-73.5363)
87 (45.4534,-73.6639) 57 (45.4731,-73.4977)
22 (45.4317,-73.6561) 91 (45.456,-73.6389)
32 (45.5608,-73.623) 60 (45.4721,-73.5207)
66 (45.5154,-73.6333) 45 (45.496,-73.5826)
92 (45.538,-73.5962) 6 (45.4873,-73.6427)
23 (45.5758,-73.5286) 10 (45.5593,-73.5286)
4 (45.5015,-73.5643) 92 (45.569,-73.5311)
8 (45.4619,-73.5801) 82 (45.4731,-73.5199)
97 (45.4304,-73.5416) 5 (45.483,-73.6292)
50 (45.5121,-73.5569) 66 (45.4745,-73.5896)
5 (45.4872,-73.6089) 22 (45.4386,-73.6332)
88 (45.565,-73.5283) 86 (45.4865,-73.6519)
44 (45.5664,-73.5741) 43 (45.5421,-73.5973)
97 (45.5719,-73.5254) 65 (45.548,-73.5439)
16 (45.5004,-73.4984) 77 (45.5209,-73.5864)
46 (45.5597,-73.5205) 68 (45.5796,-73.5257)
48 (45.4678,-73.558) 60 (45.5445,-73.5807)
71 (45.5651,-73.5662) 29 (45.575,-73.5009)
54 (45.4734,-73.5936) 98 (45.551,-73.5894)
71 (45.4407,-73.6299) 24 (45.4569,-73.542)
25 (45.4829,-73.5036) 83 (45.4567,-73.5912)
71 (45.4959,-73.5698) 74 (45.554,-73.6642)
7 (45.5224,-73.5199) 12 (45.4923,-73.6604)
8 (45.5769,-73.642) 47 (45.4799,-73.5399)
7 (45.5173,-73.6128) 4 (45.4471,-73.5453)
87 (45.4622,-73.6606) 57 (45.5207,-73.5569)
86 (45.5203,-73.628) 84 (45.4338,-73.4969)
88 (45.4553,-73.5285) 22 (45.5401,-73.5842)
26 (45.4572,-73.6376) 85 (45.43,-73.6495)
4 (45.4468,-73.5212) 37 (45.4663,-73.5901)
8 (45.5322,-73.5723) 14 (45.4339,-73.5288)
30 (45.5186,-73.567) 22 (45.4686,-73.6031)
22 (45.4943,-73.5074) 66 (45.554,-73.5677)
10 (45.5543,-73.5635) 99 (45.4431,-73.619)
27 (45.4736,-73.5264) 3 (45.4951,-73.587)
93 (45.4837,-73.6184) 77 (45.4963,-73.5581)
81 (45.4963,-73.5829) 17 (45.5756,-73.6092)
19 (45.4814,-73.5227) 45 (45.468,-73.663)
4 (45.574,-73.6458) 45 (45.5599,-73.528)
74 (45.5609,-73.5822) 70 (45.5229,-73.5646)
95 (45.4441,-73.6551) 54 (45.4725,-73.5319)
60 (45.4757,-73.5031) 3 (45.5458,-73.5515)
38 (45.5282,-73.4965) 99 (45.5438,-73.5207)
81 (45.5294,-73.6636) 52 (45.5209,-73.5739)
88 (45.4751,-73.6524) 48 (45.4938,-73.5475)
25 (45.4495,-73.6056) 84 (45.5324,-73.6157)
55 (45.4737,-73.6079) 61 (45.4904,-73.5429)
98 (45.527,-73.5088)
28 (45.5575,-73.571)
27 (45.5614,-73.5039) 54 (45.5324,-73.5982)
21 (45.4302,-73.6463) 14 (45.4778,-73.6461)
91 (45.5161,-73.5909) 53 (45.4569,-73.5385)
28 (45.4846,-73.618) 3 (45.4558,-73.4963)
97 (45.554,-73.5363) 70 (45.5172,-73.6463)
1 (45.5523,-73.5188) 37 (45.5233,-73.6023)
50 (45.4318,-73.649) 54 (45.5541,-73.6058)
38 (45.5556,-73.574) 45 (45.4486,-73.5907)
17 (45.442,-73.5054) 80 (45.4736,-73.5776)
7 (45.4497,-73.6575) 42 (45.5036,-73.6097)
33 (45.5412,-73.644) 4 (45.5105,-73.6654)
19 (45.4658,-73.5858) 46 (45.5139,-73.5752)
52 (45.5209,-73.6335) 42 (45.4937,-73.5537)
68 (45.5106,-73.5312) 31 (45.4528,-73.6107)
48 (45.4663,-73.6528) 62 (45.4906,-73.5409)
70 (45.4735,-73.5863) 52 (45.5036,-73.5686)
55 (45.5376,-73.5134) 26 (45.5584,-73.666)
76 (45.5306,-73.5987) 62 (45.4731,-73.4977)
65 (45.4572,-73.4979) 72 (45.5539,-73.5717)
70 (45.5118,-73.5728) 1 (45.4542,-73.6307)
36 (45.5634,-73.5995) 76 (45.4776,-73.5852)
24 (45.5643,-73.6208) 24 (45.5415,-73.6384)
95 (45.5322,-73.5853) 7 (45.4671,-73.5391)
43 (45.5197,-73.648) 1 (45.4702,-73.6201)
41 (45.5062,-73.5557) 10 (45.5049,-73.658)
96 (45.5347,-73.5616) 76 (45.5575,-73.5703)
88 (45.4298,-73.6559) 47 (45.548,-73.526)
68 (45.5355,-73.6615) 82 (45.4688,-73.5993)
94 (45.5069,-73.6017) 58 (45.5235,-73.5344)
16 (45.5004,-73.56) 88 (45.4907,-73.6472)
18 (45.5638,-73.6067) 25 (45.5063,-73.5982)
4 (45.4433,-73.5908) 8 (45.5071,-73.5726)
6 (45.5638,-73.5589) 60 (45.4601,-73.531)
93 (45.5273,-73.5588)
60 (45.44,-73.6352)
53 (45.4532,-73.6193) 27 (45.5783,-73.6502)
52 (45.5535,-73.4984) 66 (45.5624,-73.5358)
3 (45.5632,-73.619) 7 (45.5021,-73.5055)
15 (45.4855,-73.5858) 88 (45.5418,-73.5165)
56 (45.4416,-73.6255) 34 (45.4848,-73.6455)
21 (45.5008,-73.5788) 12 (45.5317,-73.6115)
99 (45.5449,-73.5891) 38 (45.4641,-73.5288)
35 (45.4429,-73.6446) 75 (45.505,-73.6407)
7 (45.4766,-73.5379) 95 (45.4491,-73.5985)
88 (45.4313,-73.5605) 77 (45.4898,-73.5984)
10 (45.5786,-73.5092) 53 (45.5472,-73.5052)
88 (45.5074,-73.5345) 50 (45.4324,-73.5774)
7 (45.5685,-73.5722) 95 (45.5683,-73.5101)
89 (45.48,-73.5288) 51 (45.4937,-73.5741)
55 (45.5715,-73.5847) 20 (45.4602,-73.5081)
36 (45.4841,-73.5167) 29 (45.4373,-73.5372)
98 (45.5058,-73.6273) 51 (45.4564,-73.6628)
87 (45.4738,-73.6537) 74 (45.5572,-73.6178)
67 (45.4819,-73.5415) 71 (45.4956,-73.6245)
69 (45.5079,-73.5099) 48 (45.4596,-73.6433)
54 (45.471,-73.6101) 53 (45.4499,-73.6592)
99 (45.444,-73.6613) 84 (45.4343,-73.6413)
43 (45.4531,-73.6058) 47 (45.5218,-73.5114)
1 (45.4866,-73.6281) 20 (45.5338,-73.5568)
1 (45.5275,-73.6041) 35 (45.5681,-73.5521)
54 (45.5354,-73.5875) 34 (45.5685,-73.6454)
38 (45.4814,-73.5227) 73 (45.5106,-73.5792)
76 (45.4891,-73.5362) 85 (45.5438,-73.5207)
66 (45.5332,-73.6275) 75 (45.56,-73.6086)
93 (45.5065,-73.498) 69 (45.5443,-73.5508)
14 (45.4351,-73.555) 65 (45.4712,-73.6488)
41 (45.4642,-73.6554) 16 (45.4315,-73.5077)
59 (45.5055,-73.4966) 80 (45.5321,-73.5863)
11 (45.526,-73.6098) 83 (45.4394,-73.5145)
70 (45.4401,-73.6327) 58 (45.57,-73.5462)
78 (45.5224,-73.5598) 26 (45.4872,-73.5365)
32 (45.4841,-73.5894) 7 (45.5495,-73.6113)
11 (45.5247,-73.6159) 62 (45.4357,-73.5143)
94 (45.5226,-73.6213) 89 (45.4995,-73.6197)
11 (45.5747,-73.5478) 79 (45.4868,-73.5199)
7 (45.5732,-73.6407) 84 (45.578,-73.59)
24 (45.4495,-73.5221) 68 (45.4477,-73.6395)
20 (45.5228,-73.4982)
